date,gas_price
7/10/2017,2.577
7/3/2017,2.498
6/26/2017,2.441
6/19/2017,2.528
6/12/2017,2.526
6/5/2017,2.616
5/29/2017,2.669
5/22/2017,2.675
5/15/2017,2.629
5/8/2017,2.55
5/1/2017,2.607
4/24/2017,2.707
4/17/2017,2.683
4/10/2017,2.726
4/3/2017,2.61
3/27/2017,2.5
3/20/2017,2.527
3/13/2017,2.476
3/6/2017,2.55
2/27/2017,2.483
2/20/2017,2.438
2/13/2017,2.509
2/6/2017,2.425
1/30/2017,2.4
1/23/2017,2.491
1/16/2017,2.559
1/9/2017,2.663
1/2/2017,2.718
12/26/2016,2.632
12/19/2016,2.509
12/12/2016,2.539
12/5/2016,2.425
11/28/2016,2.367
11/21/2016,2.295
11/14/2016,2.267
11/7/2016,2.372
10/31/2016,2.298
10/24/2016,2.399
10/17/2016,2.416
10/10/2016,2.543
10/3/2016,2.487
9/26/2016,2.445
9/19/2016,2.428
9/12/2016,2.491
9/5/2016,2.437
8/29/2016,2.556
8/22/2016,2.479
8/15/2016,2.38
8/8/2016,2.442
8/1/2016,2.35
7/25/2016,2.339
7/18/2016,2.491
7/11/2016,2.455
7/4/2016,2.535
6/27/2016,2.628
6/20/2016,2.77
6/13/2016,2.899
6/6/2016,2.759
5/30/2016,2.658
5/23/2016,2.617
5/16/2016,2.542
5/9/2016,2.454
5/2/2016,2.558
4/25/2016,2.495
4/18/2016,2.368
4/11/2016,2.234
4/4/2016,2.329
3/28/2016,2.259
3/21/2016,2.169
3/14/2016,2.276
3/7/2016,2.074
2/29/2016,1.976
2/22/2016,1.852
2/15/2016,1.723
2/8/2016,1.689
2/1/2016,1.798
1/25/2016,1.904
1/18/2016,2.019
1/11/2016,2.164
1/4/2016,2.185
12/28/2015,2.22
12/21/2015,2.186
12/14/2015,2.251
12/7/2015,2.142
11/30/2015,2.125
11/23/2015,2.161
11/16/2015,2.348
11/9/2015,2.472
11/2/2015,2.544
10/26/2015,2.556
10/19/2015,2.7
10/12/2015,2.837
10/5/2015,2.749
9/28/2015,2.808
9/21/2015,2.745
9/14/2015,2.751
9/7/2015,2.894
8/31/2015,3.06
8/24/2015,3.35
8/17/2015,3.476
8/10/2015,2.783
8/3/2015,2.779
7/27/2015,2.907
7/20/2015,3.033
7/13/2015,3.166
7/6/2015,3.181
6/29/2015,3.103
6/22/2015,3.198
6/15/2015,3.295
6/8/2015,3.177
6/1/2015,3.268
5/25/2015,3.135
5/18/2015,2.987
5/11/2015,2.902
5/4/2015,2.968
4/27/2015,2.869
4/20/2015,2.781
4/13/2015,2.71
4/6/2015,2.799
3/30/2015,2.929
3/23/2015,2.902
3/16/2015,2.49
3/9/2015,2.558
3/2/2015,2.616
2/23/2015,2.506
2/16/2015,2.538
2/9/2015,2.458
2/2/2015,2.345
1/26/2015,2.195
1/19/2015,2.184
1/12/2015,2.226
1/5/2015,2.264
12/29/2014,2.396
12/22/2014,2.556
12/15/2014,2.739
12/8/2014,2.875
12/1/2014,3.014
11/24/2014,3.076
11/17/2014,3.176
11/10/2014,3.194
11/3/2014,3.208
10/27/2014,3.311
10/20/2014,3.357
10/13/2014,3.497
10/6/2014,3.583
9/29/2014,3.671
9/22/2014,3.657
9/15/2014,3.752
9/8/2014,3.835
9/1/2014,3.759
8/25/2014,3.673
8/18/2014,3.748
8/11/2014,3.677
8/4/2014,3.708
7/28/2014,3.669
7/21/2014,3.766
7/14/2014,3.842
7/7/2014,3.94
6/30/2014,4.016
6/23/2014,4.068
6/16/2014,4.161
6/9/2014,4.082
6/2/2014,4.125
5/26/2014,3.985
5/19/2014,3.943
5/12/2014,3.934
5/5/2014,4.033
4/28/2014,4.097
4/21/2014,4.081
4/14/2014,4.139
4/7/2014,4.011
3/31/2014,3.955
3/24/2014,3.9
3/17/2014,3.941
3/10/2014,3.885
3/3/2014,3.873
2/24/2014,3.726
2/17/2014,3.649
2/10/2014,3.581
2/3/2014,3.484
1/27/2014,3.516
1/20/2014,3.519
1/13/2014,3.521
1/6/2014,3.539
12/30/2013,3.515
12/23/2013,3.464
12/16/2013,3.381
12/9/2013,3.341
12/2/2013,3.385
11/25/2013,3.464
11/18/2013,3.396
11/11/2013,3.32
11/4/2013,3.458
10/28/2013,3.482
10/21/2013,3.561
10/14/2013,3.568
10/7/2013,3.557
9/30/2013,3.632
9/23/2013,3.721
9/16/2013,3.777
9/9/2013,3.834
9/2/2013,3.879
8/26/2013,3.796
8/19/2013,3.76
8/12/2013,3.834
8/5/2013,3.974
7/29/2013,4.03
7/22/2013,4.15
7/15/2013,4.091
7/8/2013,3.826
7/1/2013,3.912
6/24/2013,4.085
6/17/2013,4.312
6/10/2013,4.421
6/3/2013,4.294
5/27/2013,4.147
5/20/2013,4.262
5/13/2013,4.235
5/6/2013,4.185
4/29/2013,4.135
4/22/2013,4.038
4/15/2013,3.823
4/8/2013,3.926
4/1/2013,4.052
3/25/2013,4.014
3/18/2013,3.938
3/11/2013,3.889
3/4/2013,3.991
2/25/2013,4.017
2/18/2013,4.061
2/11/2013,3.93
2/4/2013,3.843
1/28/2013,3.539
1/21/2013,3.48
1/14/2013,3.41
1/7/2013,3.37
12/31/2012,3.448
12/24/2012,3.375
12/17/2012,3.387
12/10/2012,3.541
12/3/2012,3.559
11/26/2012,3.635
11/19/2012,3.613
11/12/2012,3.623
11/5/2012,3.585
10/29/2012,3.641
10/22/2012,3.728
10/15/2012,3.925
10/8/2012,4.059
10/1/2012,4.068
9/24/2012,4.173
9/17/2012,4.284
9/10/2012,4.236
9/3/2012,4.3
8/27/2012,4.143
8/20/2012,4.22
8/13/2012,4.207
8/6/2012,4.228
7/30/2012,3.866
7/23/2012,3.75
7/16/2012,3.763
7/9/2012,3.771
7/2/2012,3.596
6/25/2012,3.704
6/18/2012,3.871
6/11/2012,3.976
6/4/2012,3.939
5/28/2012,4.02
5/21/2012,4.039
5/14/2012,4.108
5/7/2012,4.222
4/30/2012,4.189
4/23/2012,4.257
4/16/2012,4.231
4/9/2012,4.329
4/2/2012,4.457
3/26/2012,4.515
3/19/2012,4.326
3/12/2012,4.173
3/5/2012,4.053
2/27/2012,3.83
2/20/2012,3.568
2/13/2012,3.567
2/6/2012,3.612
1/30/2012,3.538
1/23/2012,3.576
1/16/2012,3.706
1/9/2012,3.655
1/2/2012,3.533
12/26/2011,3.431
12/19/2011,3.346
12/12/2011,3.432
12/5/2011,3.445
11/28/2011,3.495
11/21/2011,3.558
11/14/2011,3.639
11/7/2011,3.547
10/31/2011,3.591
10/24/2011,3.512
10/17/2011,3.554
10/10/2011,3.562
10/3/2011,3.615
9/26/2011,3.752
9/19/2011,3.871
9/12/2011,3.963
9/5/2011,4.027
8/29/2011,3.963
8/22/2011,3.855
8/15/2011,3.889
8/8/2011,3.967
8/1/2011,4.013
7/25/2011,3.991
7/18/2011,4.028
7/11/2011,3.981
7/4/2011,3.98
6/27/2011,3.911
6/20/2011,4.035
6/13/2011,4.158
6/6/2011,4.296
5/30/2011,4.185
5/23/2011,4.236
5/16/2011,4.386
5/9/2011,4.44
5/2/2011,4.394
4/25/2011,4.295
4/18/2011,4.227
4/11/2011,4.142
4/4/2011,3.974
3/28/2011,3.797
3/21/2011,3.755
3/14/2011,3.708
3/7/2011,3.72
2/28/2011,3.604
2/21/2011,3.368
2/14/2011,3.325
2/7/2011,3.351
1/31/2011,3.286
1/24/2011,3.27
1/17/2011,3.283
1/10/2011,3.316
1/3/2011,3.303
12/27/2010,3.288
12/20/2010,3.149
12/13/2010,3.097
12/6/2010,3.109
11/29/2010,3.023
11/22/2010,3.056
11/15/2010,3.118
11/8/2010,3.11
11/1/2010,2.939
10/25/2010,2.987
10/18/2010,3.032
10/11/2010,3.007
10/4/2010,2.958
9/27/2010,2.948
9/20/2010,3.019
9/13/2010,3.06
9/6/2010,2.903
8/30/2010,2.836
8/23/2010,2.876
8/16/2010,2.922
8/9/2010,2.968
8/2/2010,2.927
7/26/2010,2.976
7/19/2010,2.916
7/12/2010,2.896
7/5/2010,2.904
6/28/2010,2.964
6/21/2010,2.965
6/14/2010,2.905
6/7/2010,2.939
5/31/2010,2.961
5/24/2010,3.019
5/17/2010,3.11
5/10/2010,3.162
5/3/2010,3.168
4/26/2010,3.112
4/19/2010,3.125
4/12/2010,3.091
4/5/2010,3.081
3/29/2010,3.02
3/22/2010,3.062
3/15/2010,2.92
3/8/2010,2.862
3/1/2010,2.83
2/22/2010,2.836
2/15/2010,2.7
2/8/2010,2.754
2/1/2010,2.782
1/25/2010,2.84
